protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
NODE_10114_length_2944_cov_11444.185838_g4667_i1.p1_Eve;TRINITY_DN25900_c0_g1_i4.p1_Eve;TRINITY_DN8729_c0_g1_i4.p1_Gla;TRINITY_DN8729_c0_g1_i1.p1_Gla	*	PREDICTED: hemocyanin B chain-like	PREDICTED: hemocyanin B chain-like		Hemocyanin C-terminal, partial:1;PREDICTED: hemocyanin B chain-like:3		Arthropoda	HCB	HCB
NODE_10134_length_2942_cov_218.915313_g6180_i0.p1_Eve;NODE_18055_length_2199_cov_146.785581_g10689_i0.p1_Ecy;TRINITY_DN30332_c0_g1_i8.p1_Gla	*	Transferrin receptor-like dimerization domain	Transferrin receptor-like dimerization domain		Transferrin receptor-like dimerization domain:2;PREDICTED: N-acetylated-alpha-linked acidic dipeptidase 2-like:1		Arthropoda	*	Transferrin receptor-like dimerization domain
NODE_10137_length_3030_cov_1051.626300_g5737_i1.p1_Ecy;NODE_9765_length_3093_cov_1007.982589_g5737_i0.p1_Ecy;NODE_25482_length_1748_cov_286.558564_g5737_i3.p1_Ecy;TRINITY_DN6129_c0_g1_i6.p1_Gla;TRINITY_DN6129_c0_g1_i2.p1_Gla;TRINITY_DN6129_c0_g1_i5.p1_Gla	SERPINB1	PREDICTED: leukocyte elastase inhibitor-like isoform X1	SERPINB1	SERPINB1:6	Serpin domain:1;PREDICTED: leukocyte elastase inhibitor-like isoform X1:3;PREDICTED: leukocyte elastase inhibitor-like isoform X4:1;PREDICTED: leukocyte elastase inhibitor-like isoform X3:1	Vertebrata	Arthropoda	SERPINB1	SERPINB1
NODE_6912_length_3643_cov_249.043406_g4052_i0.p1_Ecy;NODE_5502_length_3878_cov_234.868373_g3288_i0.p1_Eve;NODE_10177_length_2915_cov_136.541172_g6809_i0.p1_Gla;TRINITY_DN27387_c0_g1_i3.p1_Gla;NODE_29757_length_1746_cov_713.753683_g6809_i1.p1_Gla;NODE_8047_length_3383_cov_179.941512_g4052_i1.p1_Ecy	UBXN1	PREDICTED: UBX domain-containing protein 1-like isoform X1	UBXN1	UBXN1:1	PREDICTED: UBX domain-containing protein 1-like isoform X1:5;PREDICTED: UBX domain-containing protein 1-B-like isoform X2:1	Vertebrata	Arthropoda	UBXN1	UBXN1
NODE_101962_length_755_cov_7.694051_g82313_i0.p1_Gla	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:1		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
TRINITY_DN47603_c0_g1_i3.p1_Eve;TRINITY_DN14717_c0_g1_i7.p1_Ecy;NODE_10214_length_3020_cov_92.984517_g5299_i1.p1_Ecy;TRINITY_DN9083_c0_g1_i1.p1_Gla	Nmt	PREDICTED: glycylpeptide N-tetradecanoyltransferase-like	Nmt	Nmt:3;NMT1:1	PREDICTED: glycylpeptide N-tetradecanoyltransferase-like:3;Myristoyl-CoA:protein N-myristoyltransferase N-terminal:1	Nematocera	Arthropoda	Nmt	Nmt
NODE_10220_length_3019_cov_647.210774_g576_i41.p1_Ecy;TRINITY_DN560_c0_g1_i10.p1_Gla;NODE_8034_length_3213_cov_543.688369_g5312_i0.p1_Gla	*	mitochondrial lactate dehydrogenase A chain	mitochondrial lactate dehydrogenase A chain		mitochondrial lactate dehydrogenase A chain:3		Arthropoda	CYB2	CYB2
TRINITY_DN25015_c0_g2_i2.p1_Eve;NODE_13764_length_2526_cov_38.679451_g8489_i0.p1_Eve;TRINITY_DN7972_c0_g1_i2.p1_Ecy;NODE_10244_length_3016_cov_81.669363_g6021_i0.p1_Ecy	*	glutathione hydrolase 1 proenzyme-like isoform X1	glutathione hydrolase 1 proenzyme-like isoform X1		glutathione hydrolase 1 proenzyme-like isoform X1:4		Arthropoda	GGT1	GGT1
NODE_10604_length_2961_cov_65.856799_g6062_i1.p1_Ecy;NODE_10313_length_3006_cov_69.799459_g6062_i0.p1_Ecy;TRINITY_DN1011_c0_g1_i13.p1_Eve;TRINITY_DN121897_c0_g1_i1.p1_Gla;NODE_23417_length_1853_cov_2250.276053_g14008_i0.p1_Ecy	*	Membrane attack complex component/perforin (MACPF) domain	Membrane attack complex component/perforin (MACPF) domain		Membrane attack complex component/perforin (MACPF) domain:2;kelch-like protein 20:1;Kelch-like protein 3:1		Arthropoda;Cnidaria	*	Membrane attack complex component/perforin (MACPF) domain
NODE_103329_length_746_cov_443.625538_g83575_i0.p1_Gla	*	hemocyanin subunit 1	hemocyanin subunit 1		hemocyanin subunit 1:1		Arthropoda	KLH1	KLH1
NODE_14150_length_2491_cov_14.114660_g8733_i0.p1_Eve;NODE_10337_length_3003_cov_121.674678_g6074_i0.p1_Ecy;TRINITY_DN342_c0_g3_i1.p1_Ecy;TRINITY_DN27879_c1_g1_i2.p1_Eve;NODE_2254_length_4994_cov_167.151668_g1465_i0.p1_Gla;TRINITY_DN3144_c0_g1_i2.p1_Gla	SI	Galactose mutarotase N-terminal barrel	SI	SI:1;MGAM:1	Galactose mutarotase N-terminal barrel:3;PREDICTED: sucrase-isomaltase, intestinal-like isoform X1:1;maltase-glucoamylase, intestinal-like:1;PREDICTED: sucrase-isomaltase, intestinal-like:1	Arthropoda;Carnivora	Arthropoda	SI	SI
TRINITY_DN5545_c0_g1_i5.p1_Eve;NODE_779_length_7133_cov_212.099238_g473_i0.p1_Eve;NODE_1037_length_6229_cov_176.319417_g689_i0.p1_Gla;NODE_1464_length_6309_cov_459.695687_g908_i0.p1_Ecy	Myo1A	PREDICTED: myosin-IA-like	Myo1A	Myo1A:4	PREDICTED: myosin-IA-like:4	Insecta	Arthropoda	Myo1A	Myo1A
NODE_1038_length_6928_cov_156.934293_g640_i0.p1_Ecy;TRINITY_DN584_c0_g1_i1.p1_Eve;NODE_5180_length_3982_cov_144.345029_g1312_i2.p1_Eve;NODE_632_length_7132_cov_81.366370_g415_i0.p1_Gla	P58IPK	PREDICTED: dnaJ homolog subfamily C member 3-like	P58IPK	P58IPK:4	PREDICTED: dnaJ homolog subfamily C member 3-like:3;Tetratricopeptide repeat:1	Insecta	Arthropoda	P58IPK	P58IPK
NODE_392_length_8280_cov_106.126109_g245_i0.p1_Eve;TRINITY_DN3656_c1_g1_i6.p1_Eve;NODE_38117_length_1409_cov_144.631618_g245_i2.p1_Eve;TRINITY_DN128820_c0_g1_i2.p1_Gla;TRINITY_DN3656_c1_g1_i1.p1_Eve;TRINITY_DN3656_c1_g1_i18.p1_Eve;TRINITY_DN3656_c1_g1_i11.p1_Eve;NODE_3223_length_4913_cov_140.574219_g1880_i1.p1_Ecy;NODE_10438_length_2886_cov_83.124780_g5984_i1.p1_Gla;TRINITY_DN1033_c1_g1_i6.p1_Ecy;TRINITY_DN128820_c0_g1_i31.p1_Gla;TRINITY_DN128820_c0_g1_i34.p1_Gla;TRINITY_DN1033_c1_g1_i21.p1_Ecy;NODE_3105_length_4985_cov_135.120746_g1880_i0.p1_Ecy;TRINITY_DN128820_c0_g1_i9.p1_Gla;NODE_8987_length_3063_cov_76.414731_g5984_i0.p1_Gla	Synd	protein kinase C and casein kinase substrate in neurons protein 1-like	Synd	Synd:14;PACSIN3:2	PREDICTED: protein kinase C and casein kinase II substrate protein 3-like:2;protein kinase C and casein kinase substrate in neurons protein 1-like:10;putative protein kinase C and casein kinase substrate in neurons protein 1:4	Lepidoptera;Hymenoptera	Arthropoda	Synd	Synd
TRINITY_DN519_c0_g1_i6.p1_Eve;NODE_10450_length_2897_cov_1333.864466_g6386_i0.p1_Eve;TRINITY_DN2479_c0_g1_i4.p1_Ecy;TRINITY_DN13425_c0_g1_i11.p1_Gla;TRINITY_DN143794_c0_g1_i1.p1_Gla	Hn	PREDICTED: protein henna-like	Hn	Hn:3;PAH:2	PREDICTED: protein henna-like:4;protein henna-like isoform X2:1	Chordata;Insecta	Arthropoda;Mollusca	Hn	Hn
NODE_104611_length_680_cov_1277.136292_g8670_i3.p1_Eve;NODE_107873_length_719_cov_2191.607463_g12491_i4.p1_Gla;NODE_80932_length_913_cov_2487.266204_g12491_i1.p1_Gla;NODE_86947_length_862_cov_510.249692_g68784_i0.p2_Gla;TRINITY_DN5357_c0_g1_i37.p1_Gla;TRINITY_DN18801_c0_g3_i44.p1_Eve;TRINITY_DN18801_c0_g3_i10.p1_Eve;TRINITY_DN18801_c0_g3_i27.p1_Eve	*	PREDICTED: keratin, type II cytoskeletal 2 epidermal-like	PREDICTED: keratin, type II cytoskeletal 2 epidermal-like		PREDICTED: keratin, type II cytoskeletal 2 epidermal-like:4		Arthropoda	KRT2	KRT2
TRINITY_DN177582_c0_g1_i6.p1_Eve;NODE_10510_length_2888_cov_843.786192_g6422_i0.p1_Eve;NODE_39908_length_1241_cov_1759.886745_g1965_i33.p1_Ecy	FK506-bp1	PREDICTED: 46 kDa FK506-binding nuclear protein-like isoform X1	FK506-bp1	FK506-bp1:1	PREDICTED: 46 kDa FK506-binding nuclear protein-like isoform X1:1;PREDICTED: 46 kDa FK506-binding nuclear protein-like isoform X2:1;FKBP-type peptidyl-prolyl cis-trans isomerase domain:1	Lepidoptera	Arthropoda	FK506-bp1	FK506-bp1
NODE_22094_length_2039_cov_15.957286_g15407_i0.p1_Gla;TRINITY_DN143056_c0_g1_i4.p1_Ecy;TRINITY_DN266246_c0_g1_i4.p1_Eve;NODE_10525_length_2975_cov_19.350991_g6191_i0.p1_Ecy;TRINITY_DN311407_c0_g1_i2.p1_Gla;NODE_16128_length_2327_cov_18.112818_g5277_i1.p1_Eve	RASA1	Pleckstrin domain	RASA1	RASA1:1	Pleckstrin domain:3;PREDICTED: ras GTPase-activating protein 1-like:3	Insecta	Arthropoda	RASA1	RASA1
TRINITY_DN366_c0_g1_i12.p1_Gla;NODE_10531_length_2876_cov_355.253626_g7047_i0.p1_Gla	rnh1	PREDICTED: ribonuclease H1-like	rnh1	rnh1:2	PREDICTED: ribonuclease H1-like:1;Ribonuclease H1 N-terminal:1	Hymenoptera	Arthropoda	rnh1	rnh1
NODE_10549_length_2882_cov_925.379456_g6444_i0.p1_Eve;TRINITY_DN2143_c0_g1_i2.p1_Eve;TRINITY_DN216120_c0_g1_i11.p1_Gla;NODE_75223_length_875_cov_789.150121_g56186_i0.p1_Eve	*	PREDICTED: protein transport protein SEC31-like	PREDICTED: protein transport protein SEC31-like		PREDICTED: protein transport protein SEC31-like:4		Arthropoda	SEC31	SEC31
NODE_10579_length_2879_cov_89.725088_g6462_i0.p1_Eve;TRINITY_DN16061_c0_g2_i2.p1_Eve;TRINITY_DN9911_c1_g1_i2.p1_Ecy;TRINITY_DN82066_c0_g1_i1.p1_Gla	DBLOX	PREDICTED: chorion peroxidase-like	DBLOX	DBLOX:4	PREDICTED: chorion peroxidase-like:1;peroxidasin homolog:1	Paraneoptera	Arthropoda	DBLOX	DBLOX
NODE_10584_length_2879_cov_42.140636_g6465_i0.p1_Eve;TRINITY_DN34_c0_g1_i4.p1_Eve;TRINITY_DN16056_c0_g1_i1.p1_Ecy	*	PREDICTED: sucrase-isomaltase, intestinal-like	PREDICTED: sucrase-isomaltase, intestinal-like		Glycoside hydrolase family 31, partial:1;PREDICTED: sucrase-isomaltase, intestinal-like:2		Arthropoda	SI	SI
NODE_10606_length_2876_cov_4465.780686_g6253_i1.p1_Eve;TRINITY_DN7019_c1_g1_i1.p1_Eve;NODE_10869_length_2920_cov_4970.377917_g5478_i1.p1_Ecy;TRINITY_DN13891_c0_g1_i4.p1_Gla;NODE_22442_length_1942_cov_11.255151_g14284_i0.p1_Eve;TRINITY_DN52703_c0_g2_i1.p1_Eve	Hsc70-3	Heat shock protein 70 family	Hsc70-3	Hsc70-3:4;HSPA5:2	Heat shock protein 70 family:2;PREDICTED: LOW QUALITY PROTEIN: heat shock 70 kDa protein cognate 3-like:2	Bilateria;Drosophilidae;Hymenoptera	Arthropoda	Hsc70-3	Hsc70-3
NODE_4198_length_4314_cov_75.632122_g2508_i0.p1_Eve;NODE_10633_length_2956_cov_51.771586_g6252_i0.p1_Ecy;TRINITY_DN5748_c0_g1_i5.p1_Ecy;TRINITY_DN981_c1_g1_i1.p1_Eve;NODE_38918_length_1267_cov_63.582923_g6252_i1.p1_Ecy;NODE_5423_length_3738_cov_33.327189_g3538_i0.p1_Gla;NODE_47757_length_1211_cov_41.566265_g2508_i1.p1_Eve;TRINITY_DN18197_c0_g1_i2.p1_Gla	CPT2	PREDICTED: carnitine O-palmitoyltransferase 2, mitochondrial-like	CPT2	CPT2:4	Acyltransferase ChoActase/COT/CPT:3;PREDICTED: carnitine O-palmitoyltransferase 2, mitochondrial-like:5	Actinopterygii;Arthropoda	Arthropoda	CPT2	CPT2
TRINITY_DN509_c0_g1_i30.p1_Eve;NODE_10642_length_2872_cov_182.234148_g6507_i0.p1_Eve	*	PREDICTED: prestalk protein-like isoform X3	PREDICTED: prestalk protein-like isoform X3		PREDICTED: prestalk protein-like isoform X3:1;Chitin binding domain:1		Arthropoda	ecmB	ecmB
TRINITY_DN10112_c0_g1_i3.p1_Eve;NODE_10648_length_2871_cov_568.610560_g6512_i0.p1_Eve;TRINITY_DN60953_c0_g1_i3.p1_Ecy;TRINITY_DN40999_c0_g1_i1.p1_Gla;CON__Q3ZBD7	GPI	PREDICTED: glucose-6-phosphate isomerase-like	GPI	GPI:2	PREDICTED: glucose-6-phosphate isomerase-like:2;Phosphoglucose isomerase (PGI):1;glucose-6-phosphate isomerase:1	Metatheria;Insecta	Arthropoda;Chordata	GPI	GPI
NODE_10670_length_2867_cov_726.975160_g6528_i0.p1_Eve;TRINITY_DN1237_c0_g1_i16.p1_Eve	*	PREDICTED: uncharacterized protein LOC108669456	PREDICTED: uncharacterized protein LOC108669456		PREDICTED: uncharacterized protein LOC108669456:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108669456
NODE_16497_length_2300_cov_422.369169_g6529_i1.p1_Eve;NODE_10671_length_2867_cov_222.735628_g6529_i0.p1_Eve;TRINITY_DN3637_c1_g1_i4.p1_Eve;NODE_16617_length_2308_cov_28.175299_g9312_i1.p1_Ecy;TRINITY_DN39561_c0_g1_i26.p1_Ecy;NODE_15800_length_2375_cov_27.402408_g9312_i0.p1_Ecy;TRINITY_DN8893_c1_g1_i1.p1_Gla;TRINITY_DN8893_c0_g1_i9.p1_Gla	*	AMP-binding enzyme C-terminal domain	AMP-binding enzyme C-terminal domain		AMP-binding enzyme C-terminal domain:4;4-coumarate--CoA ligase-like:1;4-coumarate--CoA ligase-like isoform X2:1;PREDICTED: 4-coumarate--CoA ligase-like 4:1;probable 4-coumarate--CoA ligase 1:1		Arthropoda	*	AMP-binding enzyme C-terminal domain
TRINITY_DN6627_c0_g1_i2.p1_Eve;TRINITY_DN4785_c0_g1_i3.p1_Ecy;NODE_10733_length_2861_cov_99.163229_g6564_i0.p1_Eve;NODE_42876_length_1170_cov_93.388938_g7787_i1.p1_Ecy;NODE_16642_length_2343_cov_104.126853_g11373_i0.p1_Gla	FARSB	PREDICTED: phenylalanine--tRNA ligase beta subunit-like	FARSB	FARSB:4	PREDICTED: phenylalanine--tRNA ligase beta subunit-like:5	Actinopterygii;Metazoa	Arthropoda	FARSB	FARSB
TRINITY_DN298_c1_g1_i5.p1_Gla;NODE_10778_length_2933_cov_963.312067_g6331_i0.p1_Ecy	*	PREDICTED: tubulin beta chain-like	PREDICTED: tubulin beta chain-like		PREDICTED: tubulin beta chain-like:2		Arthropoda	TUBB	TUBB
NODE_1082_length_6568_cov_124.213683_g339_i1.p1_Eve;TRINITY_DN84526_c0_g1_i1.p1_Ecy;NODE_16783_length_2294_cov_109.571047_g9923_i0.p1_Ecy;NODE_53028_length_977_cov_100.546336_g9923_i2.p1_Ecy;TRINITY_DN22125_c0_g1_i3.p1_Gla;NODE_17651_length_2277_cov_60.498654_g12106_i0.p1_Gla;NODE_47128_length_1083_cov_45.838491_g9923_i1.p1_Ecy	Gal	PREDICTED: beta-galactosidase-like	Gal	Gal:1	PREDICTED: beta-galactosidase-like:7	Arthropoda	Arthropoda	Gal	Gal
NODE_1114_length_6807_cov_43.852767_g664_i1.p1_Ecy;NODE_1082_length_6858_cov_43.567778_g664_i0.p1_Ecy;TRINITY_DN16617_c0_g1_i4.p1_Gla;NODE_94632_length_804_cov_24.845033_g75626_i0.p1_Gla;NODE_35565_length_1582_cov_6.748858_g24136_i1.p1_Gla;TRINITY_DN40537_c0_g1_i1.p1_Gla;TRINITY_DN40537_c0_g1_i4.p1_Gla;TRINITY_DN42645_c0_g1_i9.p1_Eve;TRINITY_DN42645_c0_g1_i5.p1_Eve	LanB1	PREDICTED: laminin subunit beta-1-like isoform X3	LanB1	LanB1:9	PREDICTED: laminin subunit beta-1-like isoform X3:2;PREDICTED: laminin subunit beta-1-like isoform X1:1;PREDICTED: laminin subunit beta-1-like isoform X6:2;Laminin EGF domain, partial:1;PREDICTED: laminin subunit beta-1-like isoform X5:2;PREDICTED: laminin subunit beta-1-like isoform X4:1	Insecta;Arthropoda;Diptera	Arthropoda	LanB1	LanB1
NODE_10829_length_2926_cov_936.536670_g5226_i1.p1_Ecy;NODE_8329_length_3229_cov_401.575472_g5032_i0.p1_Eve;NODE_11108_length_2812_cov_345.781035_g7432_i0.p1_Gla	*	Phytanoyl-CoA dioxygenase	Phytanoyl-CoA dioxygenase		Phytanoyl-CoA dioxygenase:3		Arthropoda	PHYH	PHYH
NODE_1084_length_6567_cov_85.409942_g666_i0.p1_Eve;TRINITY_DN27623_c1_g1_i5.p1_Eve;NODE_16317_length_2333_cov_50.776270_g9623_i0.p1_Ecy;TRINITY_DN13435_c0_g1_i2.p1_Ecy;TRINITY_DN6281_c0_g1_i7.p1_Gla;NODE_11689_length_2749_cov_88.365926_g7837_i0.p1_Gla	CECR1	PREDICTED: adenosine deaminase CECR1-like	CECR1	CECR1:1	PREDICTED: adenosine deaminase CECR1-like:6	Arthropoda	Arthropoda	CECR1	CECR1
TRINITY_DN240_c0_g1_i34.p1_Eve;NODE_7030_length_3488_cov_604.436464_g4226_i0.p1_Eve;TRINITY_DN240_c0_g1_i33.p1_Eve;NODE_10849_length_2848_cov_225.667738_g4226_i1.p1_Eve;TRINITY_DN240_c0_g1_i27.p1_Eve;TRINITY_DN240_c0_g1_i20.p1_Eve;TRINITY_DN240_c0_g1_i50.p1_Eve;TRINITY_DN240_c0_g1_i16.p1_Eve;NODE_5682_length_3964_cov_416.234483_g3246_i1.p1_Ecy;NODE_5535_length_4006_cov_408.293151_g3246_i0.p1_Ecy;NODE_9089_length_3201_cov_630.042195_g3246_i2.p1_Ecy;TRINITY_DN56_c0_g1_i29.p1_Ecy;TRINITY_DN56_c0_g1_i32.p1_Ecy;NODE_7726_length_3262_cov_336.957049_g5101_i0.p1_Gla;NODE_16302_length_2364_cov_136.031533_g5101_i1.p1_Gla;TRINITY_DN13145_c0_g1_i10.p1_Gla;TRINITY_DN13145_c0_g1_i21.p1_Gla	*	intracellular protein transport protein USO1-like	intracellular protein transport protein USO1-like		intracellular protein transport protein USO1-like:6;PREDICTED: kinectin-like, partial:2;putative ribosome-binding protein 1 isoform X4, partial:2		Arthropoda	USO1	USO1
NODE_1088_length_6565_cov_82.685850_g668_i0.p1_Eve;TRINITY_DN10872_c0_g1_i4.p1_Eve;NODE_1814_length_5930_cov_117.494304_g1120_i0.p1_Ecy;TRINITY_DN47872_c0_g1_i1.p1_Ecy;NODE_36196_length_1342_cov_10.178654_g22367_i0.p1_Ecy;TRINITY_DN32900_c0_g1_i1.p1_Eve;NODE_29142_length_1663_cov_12.254647_g18953_i0.p1_Eve	*	PREDICTED: xanthine dehydrogenase 1-like	PREDICTED: xanthine dehydrogenase 1-like		PREDICTED: xanthine dehydrogenase 1-like:3;Aldehyde oxidase/xanthine dehydrogenase molybdopterin binding:2;PREDICTED: xanthine dehydrogenase 2-like:1		Arthropoda	XDH	XDH
NODE_1092_length_6845_cov_236.132137_g671_i0.p1_Ecy;TRINITY_DN1822_c0_g1_i1.p1_Eve;NODE_935_length_6809_cov_179.398077_g572_i0.p1_Eve;TRINITY_DN1822_c0_g1_i2.p1_Eve;NODE_2115_length_5084_cov_115.974181_g1378_i0.p1_Gla;TRINITY_DN2168_c0_g1_i3.p1_Gla	vib	PREDICTED: phosphatidylinositol transfer protein alpha isoform-like	vib	vib:6	PREDICTED: phosphatidylinositol transfer protein alpha isoform-like:6	Diptera	Arthropoda	vib	vib
NODE_109243_length_658_cov_1893.121511_g87089_i0.p1_Eve	*	CUB domain	CUB domain		CUB domain:1		Arthropoda	*	CUB domain
TRINITY_DN3260_c0_g1_i10.p1_Eve;NODE_1093_length_6553_cov_1901.675277_g670_i0.p1_Eve;TRINITY_DN291388_c0_g3_i5.p1_Ecy;TRINITY_DN10202_c0_g1_i10.p1_Gla;NODE_10136_length_3030_cov_1746.517276_g761_i1.p1_Ecy;NODE_6316_length_3532_cov_546.333046_g573_i1.p1_Gla	HDLBP	PREDICTED: vigilin-like	HDLBP	HDLBP:1	PREDICTED: vigilin-like:3;K domain type 1:3	Insecta	Arthropoda	HDLBP	HDLBP
TRINITY_DN5460_c1_g3_i2.p1_Eve;TRINITY_DN5774_c11_g1_i2.p1_Ecy;NODE_1094_length_6553_cov_165.139145_g671_i0.p1_Eve;NODE_3762_length_4658_cov_91.006943_g1988_i1.p1_Ecy;NODE_3557_length_4334_cov_164.131622_g2293_i0.p1_Gla;TRINITY_DN6910_c0_g1_i3.p1_Gla	Dmn	PREDICTED: dynactin subunit 2-like	Dmn	Dmn:5;DCTN2:1	PREDICTED: dynactin subunit 2-like:6	Insecta	Arthropoda	Dmn	Dmn
